regiao,estado,latitude,longitude,dataColeta,valorVenda
SE,SP,-23.5636059,-46.7978436,09/07/2020,3.899
SE,SP,-22.65543519999997,-50.40292059999999,02/05/2021,5.39
SE,RJ,-22.91294109999997,-43.2285074,16/11/2020,4.797
SE,SP,-23.62877069999998,-46.5630563,28/06/2021,5.899
SE,SP,-23.48947399999997,-46.3153575,01/07/2020,3.799
SE,RJ,-22.82362359999997,-43.0002851,10/01/2022,6.99
SE,SP,-23.49107199999997,-47.4087598,29/08/2021,5.699
NE,BA,-12.2601933,-38.9666591,08/03/2022,7.63
NE,BA,-14.80050899999998,-39.29152550000001,16/02/2021,5.28
SE,SP,-22.41399179999997,-46.9591358,21/04/2022,7.19
NE,BA,-16.33470669999997,-39.5804725,22/04/2020,4.45
SE,SP,-23.659179,-46.8523862,01/11/2021,6.299
S,PR,-24.7935471,-49.9995189,05/01/2022,6.29
SE,ES,-19.37548189999998,-40.06600419999999,13/04/2022,7.49
CO,GO,-17.7293244,-49.0923184,15/01/2020,4.75
CO,DF,-15.7868291,-48.12681360000001,31/08/2021,6.299
SE,MG,-19.87523239999997,-43.9314722,02/02/2022,6.86
S,PR,-23.7693876,-53.2981898,27/07/2020,4.11
SE,SP,-23.6517381,-46.4409575,23/05/2022,7.29
SE,SP,-22.22778429999998,-49.9309356,25/03/2021,4.279
NE,PE,-9.3930861,-40.5435487,01/04/2020,4.789
S,PR,-25.34733099999997,-49.19113400000001,07/06/2022,7.29
SE,ES,-19.5304558,-40.6182873,16/05/2022,7.59
SE,SP,-20.77077749999997,-49.3912037,09/06/2022,6.75
SE,SP,-22.00395089999997,-47.88559149999999,15/09/2021,5.999
NE,PE,-8.336252,-36.4242604,12/02/2020,4.499
SE,MG,-18.8700978,-48.24432909999999,23/06/2021,5.899
SE,RJ,-22.80785109999998,-43.4075119,22/04/2020,4.699
CO,GO,-16.68420039999997,-49.261878,24/02/2022,6.99
CO,GO,-16.63146199999997,-49.38595729999999,07/02/2022,6.89
SE,SP,-22.80445409999997,-47.1594754,14/02/2022,6.09
SE,SP,-22.3076348,-49.0211225,10/11/2021,6.39
