regiao,latitude,longitude,dataColeta,valorVenda,diesel,dieselS10,etanol,gasolina,gasolinaAditivada,gnv
SE,-20.52432179999997,-47.3885169,27/10/2021,5.297,0,1,0,0,0,0
NE,-3.6920259,-38.40132759999999,11/11/2021,5.69,0,1,0,0,0,0
SE,-23.62944889999998,-46.8202305,25/10/2021,4.899,1,0,0,0,0,0
CO,-12.56684309999997,-55.7393606,23/11/2021,5.999,0,1,0,0,0,0
SE,-19.82127529999998,-40.2783795,29/03/2021,5.579,0,0,0,0,1,0
CO,-20.4926037,-54.61298859999999,10/05/2021,5.599,0,0,0,0,1,0
N,-1.440238499999975,-48.4864462,11/04/2021,5.599,0,0,0,1,0,0
NE,-12.15784839999997,-38.86012019999999,20/04/2021,3.91,0,0,1,0,0,0
NE,-5.100075299999975,-42.80531879999999,13/04/2021,4.607,0,1,0,0,0,0
SE,-20.74338139999998,-42.864649,13/10/2021,5.49,0,0,1,0,0,0
SE,-22.10301309999997,-51.38932070000001,22/06/2021,3.879,0,0,1,0,0,0
SE,-20.7426483,-48.9023396,29/09/2021,6.089,0,0,0,0,1,0
SE,-23.62944889999998,-46.8202305,23/11/2021,5.249,0,1,0,0,0,0
SE,-23.71871259999998,-46.8511567,27/09/2021,5.999,0,0,0,1,0,0
SE,-20.14781409999997,-40.244524,30/12/2021,5.059,1,0,0,0,0,0
CO,-15.6495871,-56.1211822,02/08/2021,5.81,0,0,0,0,1,0
SE,-21.21826199999997,-50.42992609999999,04/05/2021,3.799,0,0,1,0,0,0
SE,-20.94189439999997,-48.4759688,27/12/2021,6.759,0,0,0,0,1,0
SE,-22.87709749999997,-43.4457059,26/01/2021,5.099,0,0,0,1,0,0
SE,-22.80000179999998,-43.41149749999999,22/03/2021,5.899,0,0,0,1,0,0
SE,-19.88572749999998,-44.0144169,22/02/2021,5.295,0,0,0,0,1,0
NE,-5.838354699999974,-35.2504103,06/10/2021,5.759,0,0,1,0,0,0
S,-23.09543539999997,-52.4745312,08/12/2021,6.49,0,0,0,0,1,0
NE,-3.7693252,-38.6336475,23/06/2021,4.659,0,1,0,0,0,0
SE,-23.57530919999998,-46.5415844,08/12/2021,6.299,0,0,0,1,0,0
S,-29.63708179999998,-50.955697,29/06/2021,4.249,0,1,0,0,0,0
NE,-7.169365599999974,-34.86258249999999,29/11/2021,5.349,1,0,0,0,0,0
SE,-22.32524249999997,-49.08191559999999,14/06/2021,4.59,0,1,0,0,0,0
SE,-20.90313959999997,-48.44244049999999,22/06/2021,4.299,1,0,0,0,0,0
S,-29.67012789999997,-51.13232010000001,22/09/2021,6.199,0,0,0,1,0,0
CO,-16.65944899999997,-49.2367624,10/02/2021,3.979,0,1,0,0,0,0
SE,-23.68729189999997,-46.6246835,15/12/2021,6.699,0,0,0,1,0,0
SE,-22.89997999999997,-48.445806,22/11/2021,6.699,0,0,0,0,1,0
SE,-18.72432109999997,-47.5051952,20/10/2021,5.199,0,1,0,0,0,0
NE,-12.13928749999998,-45.0008319,22/09/2021,4.869,1,0,0,0,0,0
SE,-21.30228519999998,-50.34751989999999,27/01/2021,3.599,1,0,0,0,0,0
NE,-14.7728987,-39.0476298,13/09/2021,6.389,0,0,0,1,0,0
CO,-16.3235646,-48.955744,13/12/2021,6.799,0,0,0,1,0,0
SE,-22.852601,-43.020097,21/03/2021,5.589,0,0,1,0,0,0
SE,-19.89530169999997,-43.92724550000001,23/03/2021,5.699,0,0,0,1,0,0
SE,-18.92989119999998,-48.27364130000001,26/07/2021,4.498,0,0,1,0,0,0
S,-25.089079,-50.1646313,02/12/2021,6.389,0,0,0,1,0,0
SE,-18.64560719999998,-48.1824831,16/12/2021,5.29,0,0,1,0,0,0
SE,-22.31232099999997,-49.07161230000001,20/07/2021,5.37,0,0,0,1,0,0
S,-29.75117809999998,-51.0882768,19/08/2021,5.999,0,0,0,1,0,0
SE,-22.36623649999997,-47.34861,21/06/2021,5.099,0,0,0,1,0,0
SE,-22.87056519999998,-43.1035547,29/08/2021,6.399,0,0,0,0,1,0
SE,-22.85176609999997,-47.1085611,15/11/2021,5.197,1,0,0,0,0,0
SE,-20.76134789999998,-49.382655,15/03/2021,3.979,0,0,1,0,0,0
SE,-22.34591389999997,-47.39659899999999,27/09/2021,4.599,0,0,1,0,0,0
CO,-16.71737559999998,-49.27372529999999,13/05/2021,6.09,0,0,0,0,1,0
S,-24.71989119999997,-53.73519630000001,29/03/2021,5.19,0,0,0,1,0,0
SE,-23.53764699999998,-47.4657107,21/06/2021,5.349,0,0,0,1,0,0
SE,-19.39132259999997,-40.0617566,28/12/2021,4.99,1,0,0,0,0,0
SE,-23.45844809999997,-46.6032662,14/04/2021,3.399,0,0,1,0,0,0
SE,-19.8987429,-44.09331479999999,29/11/2021,5.245,0,1,0,0,0,0
NE,-14.78414689999997,-39.051615,26/07/2021,6.12,0,0,0,0,1,0
SE,-21.1902916,-50.45570600000001,14/09/2021,4.899,0,1,0,0,0,0
CO,-15.63816459999998,-56.1208687,25/03/2021,4.347,1,0,0,0,0,0
SE,-22.88783249999997,-47.16358479999999,21/06/2021,4.199,0,0,1,0,0,0
S,-23.31997079999998,-51.1679385,23/02/2021,5.49,0,0,0,1,0,0
SE,-23.62201009999998,-46.537701,20/12/2021,6.299,0,0,0,1,0,0
SE,-22.8908951,-47.1120038,20/09/2021,4.449,0,1,0,0,0,0
S,-29.67058139999997,-51.1283312,27/05/2021,5.719,0,0,0,1,0,0
SE,-22.99166899999997,-45.5246593,28/07/2021,4.59,0,1,0,0,0,0
SE,-22.4789597,-43.8171478,02/06/2021,4.599,0,0,0,0,0,1
SE,-20.54851349999997,-48.5673488,26/01/2021,3.897,0,1,0,0,0,0
